Observer,Display,Block,Time,State,Duration
ap,KD,1,0.003,-1,3181.21
ap,KD,1,3181.21,-2,211.74
ap,KD,1,3392.95,1,2552.6
ap,KD,1,5945.55,-2,94.09
ap,KD,1,6039.64,-1,2552.59
ap,KD,1,8592.23,-2,129.39
ap,KD,1,8721.62,1,2976.08
ap,KD,1,11697.7,-2,164.7
ap,KD,1,11862.4,-1,3093.7
ap,KD,1,14956.1,-2,117.6
ap,KD,1,15073.7,1,3517.1
ap,KD,1,18590.8,-2,94.1
ap,KD,1,18684.9,-1,4764.1
ap,KD,1,23449,-2,129.4
ap,KD,1,23578.4,1,2893.7
ap,KD,1,26472.1,-2,117.6
ap,KD,1,26589.7,-1,2717.9
ap,KD,1,29307.6,-2,2775.5
ap,KD,1,32083.1,1,1435.1
ap,KD,1,33518.2,-2,117.6
ap,KD,1,33635.8,-1,2105.6
ap,KD,1,35741.4,-2,129.4
ap,KD,1,35870.8,1,2799.6
ap,KD,1,38670.4,-2,130.4
ap,KD,1,38800.8,-1,5398.2
ap,KD,1,44199,-2,129.4
ap,KD,1,44328.4,1,2846.7
ap,KD,1,47175.1,-2,82.4
ap,KD,1,47257.5,-1,3481.8
ap,KD,1,50739.3,-2,282.3
ap,KD,1,51021.6,1,3058.4
ap,KD,1,54080,-2,82.4
ap,KD,1,54162.4,-1,4022.9
ap,KD,1,58185.3,-2,129.4
ap,KD,1,58314.7,1,2599.6
ap,KD,1,60914.3,-2,188.3
ap,KD,1,61102.6,-1,2552.6
ap,KD,1,63655.2,-2,129.3
ap,KD,1,63784.5,1,2340.9
ap,KD,1,66125.4,-2,94.1
ap,KD,1,66219.5,1,117.6
ap,KD,1,66337.1,-2,164.7
ap,KD,1,66501.8,-1,3434.8
ap,KD,1,69936.6,-2,94.1
ap,KD,1,70030.7,1,1799.8
ap,KD,1,71830.5,-2,94.1
ap,KD,1,71924.6,-1,3976
ap,KD,1,75900.6,-2,105.8
ap,KD,1,76006.4,-1,82.3
ap,KD,1,76088.7,-2,329.4
ap,KD,1,76418.1,1,3811.2
ap,KD,1,80229.3,-2,117.7
ap,KD,1,80347,-1,2129.1
ap,KD,1,82476.1,-2,247
ap,KD,1,82723.1,1,2352.6
ap,KD,1,85075.7,-2,447
ap,KD,1,85522.7,-1,2599.6
ap,KD,1,88122.3,-2,235.3
ap,KD,1,88357.6,1,2235
ap,KD,1,90592.6,-2,82.3
ap,KD,1,90674.9,-1,1729.2
ap,KD,1,92404.1,-2,117.6
ap,KD,1,92521.7,1,3317.2
ap,KD,1,95838.9,-2,164.7
ap,KD,1,96003.6,-1,3434.8
ap,KD,1,99438.4,-2,752.6
ap,KD,1,100191,1,1894
ap,KD,1,102085,-2,718
ap,KD,1,102803,-1,2846
ap,KD,1,105649,-2,600
ap,KD,1,106249,1,3141
ap,KD,1,109390,-2,129
ap,KD,1,109519,-1,2729
ap,KD,1,112248,-2,200
ap,KD,1,112448,1,4235
ap,KD,1,116683,-2,82
ap,KD,1,116765,-1,3435
ap,KD,1,120200,-2,165
ap,KD,1,120365,1,2600
ap,KD,1,122965,-2,94
ap,KD,1,123059,-1,2635
ap,KD,1,125694,-2,129
ap,KD,1,125823,1,2941
ap,KD,1,128764,-2,117
ap,KD,1,128881,-1,3188
ap,KD,1,132069,-2,165
ap,KD,1,132234,1,576
ap,KD,1,132810,-2,965
ap,KD,1,133775,1,2635
ap,KD,1,136410,-2,129
ap,KD,1,136539,-1,4023
ap,KD,1,140562,-2,82
ap,KD,1,140644,1,2600
ap,KD,1,143244,-2,153
ap,KD,1,143397,-1,1729
ap,KD,1,145126,-2,83
ap,KD,1,145209,1,2682
ap,KD,1,147891,-2,47
ap,KD,1,147938,-1,2940
ap,KD,1,150878,-2,200
ap,KD,1,151078,1,3023
ap,KD,1,154101,-2,130
ap,KD,1,154231,-1,2552
ap,KD,1,156783,-2,165
ap,KD,1,156948,1,1435
ap,KD,1,158383,-2,82
ap,KD,1,158465,-1,3047
ap,KD,1,161512,-2,130
ap,KD,1,161642,1,2811
ap,KD,1,164453,-2,165
ap,KD,1,164618,-1,2552
ap,KD,1,167170,-2,212
ap,KD,1,167382,1,3270
ap,KD,1,170652,-2,82
ap,KD,1,170734,-1,2388
ap,KD,1,173122,-2,130
ap,KD,1,173252,1,2846
ap,KD,1,176098,-2,94
ap,KD,1,176192,-1,3929
ap,KD,1,180121,-2,247
ap,KD,1,180368,1,2188
ap,KD,1,182556,-2,165
ap,KD,1,182721,-1,3564
ap,KD,1,186285,-2,200
ap,KD,1,186485,1,2517
ap,KD,1,189002,-2,165
ap,KD,1,189167,-1,2729
ap,KD,1,191896,-2,200
ap,KD,1,192096,1,4235
ap,KD,1,196331,-2,165
ap,KD,1,196496,-1,4022
ap,KD,1,200518,-2,118
ap,KD,1,200636,1,2894
ap,KD,1,203530,-2,129
ap,KD,1,203659,-1,3388
ap,KD,1,207047,-2,129
ap,KD,1,207176,1,3859
ap,KD,1,211035,-2,129
ap,KD,1,211164,-1,4224
ap,KD,1,215388,-2,128
ap,KD,1,215516,1,3388
ap,KD,1,218904,-2,130
