Observer,Block,Contrast,State,Time,Duration
al,1,0.0625,-2,0.017775,1.700751
al,1,0.0625,-1,0.034398,6.503033
al,1,0.0625,-2,0.067748,0.150073
al,1,0.0625,1,0.084426,1.750823
al,1,0.0625,-2,0.117772,0.500229
al,1,0.0625,-1,0.134444,4.568803
al,1,0.0625,-2,0.167792,0.700346
al,1,0.0625,1,0.184465,2.751265
al,1,0.0625,-2,0.217818,0.800383
al,1,0.0625,-1,0.23449,6.002805
al,1,0.0625,-2,0.26784,0.550253
al,1,0.0625,1,0.284515,1.650773
al,1,0.0625,-2,0.317868,0.8504
al,1,0.0625,-1,0.334542,1.467349
al,1,0.0625,-2,0.367886,0.200099
al,1,0.0625,1,0.38456,2.384452
al,1,0.0625,-2,0.417909,0.150072
al,1,0.0625,-1,0.434583,5.00234
al,1,0.0625,-2,0.467934,2.151
al,1,0.0625,1,0.484607,1.500698
al,1,0.0625,-2,0.517958,1.167211
al,1,0.0625,-1,0.534634,3.001406
al,1,0.0625,-2,0.567984,0.283463
al,1,0.0625,1,0.584656,0.800383
al,1,0.0625,-2,0.618003,3.751758
al,1,0.0625,-1,0.634678,1.650761
al,1,0.0625,-2,0.668029,0.200097
al,1,0.0625,1,0.684702,3.868473
al,1,0.0625,-2,0.718053,0.200097
al,1,0.0625,-1,0.734726,1.950911
al,1,0.0625,-2,0.768078,0.016675
al,1,0.0625,-1,0.784751,2.284399
al,1,0.0625,-2,0.818095,0.100052
al,1,0.0625,1,0.834771,1.200561
al,1,0.0625,-2,0.86812,0.016672
al,1,0.0625,-1,0.884793,5.485899
al,1,0.0625,-2,0.918146,0.366844
al,1,0.0625,1,0.934816,3.835122
al,1,0.0625,-2,0.968171,2.050964
al,1,0.0625,-1,0.984844,2.751282
al,1,0.0625,-2,1.01819,0.150072
al,1,0.0625,1,1.034864,1.900898
al,1,0.0625,-2,1.068212,0.75034
al,1,0.0625,-1,1.084886,2.451147
al,1,0.0625,-2,1.118237,0.266796
al,1,0.0625,1,1.13491,2.401121
al,1,0.0625,-2,1.16826,0.133415
al,1,0.0625,-1,1.184934,3.951826
al,1,0.0625,-2,1.218289,0.250123
al,1,0.0625,1,1.234964,1.70079
al,1,0.0625,-2,1.268307,0.500239
al,1,0.0625,-1,1.285015,2.301076
al,1,0.0625,-2,1.318329,0.050017
al,1,0.0625,-1,1.335004,1.167214
al,1,0.0625,-2,1.368354,0.183424
al,1,0.0625,1,1.385027,5.019014
al,1,0.0625,-2,1.418382,1.617421
al,1,0.0625,-1,1.435053,0.783702
al,1,0.0625,-2,1.4684,1.350632
al,1,0.0625,-1,1.485075,2.61789
al,1,0.0625,-2,1.518424,0.283471
al,1,0.0625,1,1.535099,2.901355
al,1,0.0625,-2,1.568447,0.250119
al,1,0.0625,-1,1.585122,3.06819
al,1,0.0625,-2,1.618472,2.934617
al,1,0.0625,-1,1.63515,3.151467
al,1,0.0625,-2,1.668499,1.200559
